  | Kanji | Meanings | Pronunciations | Radicals | Mnemonic 
# | 嬢 | Miss | じょう ; むすめ | Woman + Nurse | A woman who is a nurse should be called miss. Compare this to a man who is a nurse. You should probably call him mister. That's why you know a woman who is a nurse is "miss." "Call me Miss Joe (じょう)," Joe says to you. When you think of "miss," remember the time Joe asked you to call him "Miss Joe". He’s this big, ten foot tall guy, but now he suddenly wants you to call him Miss Joe. Well, we’re all for respecting everbody’s personal choices here, so we better get used to it.
# | 裸 | Naked, Nude | ら ; はだか | Spirit + Fruit | If you're showing me your "spirit fruit" then you are just naked. You're nude. You know what I mean by "spirit fruit" –– yep, it's out there and you're naked. Known for being naked (and showing you his spirit fruit) is the ancient Egyptian god Ra (ら). Don't look up "Ra Egyptian god naked" in Google. Nothing good will come of it. Instead, just imagine your own Egyptian god Ra being naked in front of you.
# | 岳 | Peak | がく ; たけ | Axe + Ground + Mountain | An axe is sticking in the ground on top of a mountain. It's sticking into the very peak. Because why would you bother to stick your axe anywhere else on the mountain to prove you climbed it? Picture that axe, jammed into the mountain's peak. The person who did that must have been really cool to get all the way up there. You can't help but gawk (がく) at the peak. Somehow it looks even higher now. Go ahead, imagine this peak with an axe in it and actually gawk a bit at how far you have to go to get that high.
# | 磨 | Polish | みが ; ま | Canopy + Tree + Stone | Below this canopy of trees is a stone. Since it's the only stone here, you make sure to polish it. It's a single, perfectly round stone under this canopy of trees. It didn't start this way, but thanks to all the polishing you did, it has become nice and smooth. You polish the stone due to your meager (みが) lifestyle. There's only this one stone under these trees, and polishing the stone is the only job here. Still, you don't get much from it, thus the meager life of polishing your stone.
# | 陰 | Shade | いん ; かげ | Building + Now + Cloud | This building now has a cloud over it, creating shade. This shade is really convenient right now, because it's been such a hot day. Ahh, shade is so nice and cool. The building that's getting this nice shade is the inn (いん) you're staying at. Picture an inn with a cloud right above it right now. Look at the cloud-shaped shade keeping everyone visiting the inn cool and sunburn-free.
# | 肌 | Skin | はだ ; き | Moon + Table | The moon table is a table that's made entirely of skin. You thought the table was made of moon, with all those pores and such, but when you look more closely, you realize it's skin. Disgusting, porous, skin. Touch it and feel the "moon table." You know it's not made of moon. How ridiculous. But, when you go to touch this "moon table" made of skin, you realize that it's harder (はだ) than you expected. You'd think skin would be softer, but it's pretty hard. Much harder than you expected.
# | 魂 | Soul, Spirit | こん ; たましい | Cloud + Demon | The cloud floating above a demon has its soul in it. If you can manage to get through to the demon, to make it see that it doesn't have to be evil, it might remember who it is and return to the spirit it once was. Right now, however, the demon is looming over you, and you can't see anything in the cloud above its head. It just looks mad, like it's gonna pummel you or eat you. You shout out and beg its soul for help until, finally, you see the cloud take the shape of a condor (こん). Aha! "You were a condor before you became a demon! Remember who you are and turn back!" POOF! Now there's a condor spirit floating in front of you, crying. "Thank you, human. You've saved my soul!" it says, and float/flies off and disappears.
# | 矛 | Spear | む ; ほこ | Spear | The spear radical and the spear kanji are the same! Spears are spears. It makes sense! You take this spear and stab it into a cow. "MOO (む)!" it cries. The cow bites the spear out of your hands and stabs you back. "MOO!" you scream. How do you like it? Don't stab cows with spears, you monster.
# | 眺 | Stare | ちょう ; なが | Eye + Omen | When your eye catches an omen, it's only natural that you will stare at it. You don't see omens that often, so of course you're going to stare. We'll imagine what the omen is in the reading mnemonic. As you stare at the omen, you see Mrs. Chou (ちょう) knocking down buildings, putting nails on the street, and making herself way longer than you ever thought possible. Oh, and there she is, destroying the world. Whenever you see an omen (radical), remember that the omen will probably have Mrs. Chou in it!
# | 硬 | Stiff | こう ; かた | Stone + Renew | You feel like a stone that’s been renewed. How do renewed stones feel? Stiff. Very stiff. Think of a stone being renewed like it having something like a spa day. Pedicure, manicure, the whole shebang. It’ll come out all stiff and hardened, cause that’s how good stones are. You remember how you used to cure these stiff body times: your old friend こういち would just massage them out for you. If only you could ask こういち to give you massages again, but he's too busy for you, now (being emperor and all).
# | 卓 | Table | たく | Toe + Early | The toe is early. I hate it when the toes show up early. Well, if the toes are going to show up this early, I guess it's best to put them on the table. See all the toes lined up on the table. They are the ones who showed up early. What do all the early toes on the table do while they're waiting until it's the right time? They just sit around on their table, talking (たく). Imagine the toes talking to each other. "Hello Mr. Toe!" "Oh hello other Mr. Toe!"
# | 凶 | Villain | きょう | Treasure Chest | If there's a treasure chest, there's always a villain too. The villain is trying to get to the treasure chest before the hero of the story. And the villain always gets to the treasure chest first, often via nefarious means. That villain is SO important when it comes to treasure chests. The villain beat you all the way to きょうと to get this particular treasure chest. Arrrg! If only you had been closer to きょうと! Then you might have beaten this dastardly villain.
# | 滝 | Waterfall | たき | Tsunami + Dragon | A tsunami in the shape of a dragon flies off the cliff, then comes crashing down to the ground. This skinny tsunami of water flying down to the ground is a waterfall. Can you see why a tsunami dragon (especially the Asian skinny snake-like kind) could be a waterfall? Try to imagine it. Despite how cool a dragon waterfall is, to be honest it's also pretty tacky (たき). Now imagine it being a bit tacky. Dragons are alright but... you just don't want to overdo it, you know?
# | 墨 | Black Ink, Ink | すみ | Black + Dirt | You use black dirt to make black ink. That's what you use to write in black! Make sure the dirt you're using to make black ink is really, really black. Like the kind you find around volcanoes or something. Be careful that you don't spill black ink on anyone or anything. If you do, you have to own it. Imagine spilling black ink on someone, and when they confront you, you yell, "Yeah I got black ink on you, so sue me (すみ)!" Imagine yelling "SUE ME!" at someone's face, which is covered in the black ink you spilled there.
# | 瞬 | Blink | しゅん ; またた, まばた | Eye + Cleat + Forehead + Dance | Your eye gets kicked with a cleat that came careening toward your forehead when it popped off someone doing a dance, and you blink. Well, of course you blink, you can't control that. And when a cleat come hurtling toward your eye it blinks automatically. You blink and blink and soon (しゅん) there are tears coming out of them too. You try to blink them away but it's not working. Soon you're crying and blinking and crying some more. Soon the person who's cleat hit you is running over and trying to apologize and stop your crying, but it's too late.
# | 泡 | Bubbles | ほう ; あわ | Tsunami + Wrap | If a tsunami wraps around itself, the resulting wave will create a lot of bubbles. You know how tsunamis wrap around once gravity kicks in, right? Well when that wave crashes, a whole lot of bubbles are created. Picture the bubbles bursting out of the wrapped up tsunami as it crashes down. The air that the tsunami sucked in while it was wrapping up come out as bubbles big and small. One of the biggest bubbles heads straight for your home (ほう), engulfs it, and picks it up into the air! Watch helplessly as your home, now trapped in a bubble, floats away into the sky.
# | 穏 | Calm | おん ; おだ | Grain + Cleat + Wolverine + Heart | Some grains get stuck in his cleat, and Wolverine's heart grows calm. Wolverine had been screaming and yelling and stomping around, but when the grains entered his cleat he realized where he was. He was finally able to calm down. He's calm now because he stomped right into a farmer's field (thus the rice) and if he didn't calm down he'd probably ruin it. Now that Wolverine is calm, tears come to his eyes. Being calm has given him perspective on what his anger has done. Oh, wait no. There are just some onions (おん) in his cleats too, and they're making calm tears trickle down his eyes. Picture Wolverine sitting calmly in this field, onions causing tears to stream down his cheeks as he reflects on what he's done.
# | 孔 | Cavity, Hole | こう ; あな | Child + Umbrella | You see a child with an umbrella in front of you. Suddenly, they fall straight down into a cavity in the road. It's a big hole! You run over to where the child fell. They are just fine! Because they had an umbrella, they were able to float to the bottom. "Into my cavity you go!" yells a voice. It is こういち. "You will stay in that cavity or hole until you repent." If it hasn't been clear up until now, Emperor こういち is going mad with power.
# | 椅 | Chair | い | Tree + Odd | This tree is very odd, to say the least. The shape is all crazy, like a lightning bolt stuck into the ground, or something. Oh wait, look at this. I can sit on it really nicely. It's just like a chair! Imagine this odd tree chair being the most comfortable chair you've ever sat on. It's shaped perfectly for you, and the moss makes it soft. Wow, what a chair. But, this odd tree chair is also home to an eagle (い). It swoops down upon you as you sit down, gouging your eyes out. Feel the fear and regret. You should have known not to sit in this "chair". Mother nature never forgives, and now you don't have eyeballs.
# | 菊 | Chrysanthemum | きく | Flowers + Prison + Rice | If you pick certain rice or flowers you'll be put in prison. The most famous of these is the chrysanthemum. Chrysanthemums are super important in Japan because they're the symbol of the imperial family. They're even on the cover of Japanese passports. If you get caught picking a chrysanthemum, you're going to prison. Chrysanthemums are really important to the Japanese people. Please don't ever pick them (or rice, because that's stealing food, someone planted that)! If you go to prison for chrysanthemum picking, everyone in the prison is going to kick (きく) you nonstop. You broke the chrysanthemum picking law, so kicking is your punishment. And believe me, you don't want these kicks. Imagine holding a chrysanthemum in your hands while you get kicked over and over and over in prison. Was it worth it?
# | 綿 | Cotton | めん ; わた | Thread + White + Towel | The white thread in your towel comes from cotton. We use cotton to make lots of things, like clothes and bedsheets. But white towels are always made from soft, fluffy cotton. Imagine shoving your face into a nice, clean, white cotton towel. Mmm, so fresh. This cotton is made by men (めん). Picture all of the men lined up, making towels out of pure white cotton. They're all rubbing their faces in the soft cotton whenever they can.
# | 魔 | Devil | ま | Canopy + Tree + Demon | Below the canopy of trees is a demon. This demon is a devil. You thought the devil hangs out in hell, but he actually hangs out under this canopy of trees. Why is the devil under a canopy of trees? Because he's looking for his mama (ま). Into the trees is where all mamas go missing. And so the devil searches for his mama under this canopy of trees.
# | 寮 | Dormitory | りょう | Roof + Charcoal | You need to bring charcoal under this roof to heat the dormitory. You live in this dormitory with a bunch of other kids, and you all have to take turns bringing in the charcoal from outside to heat it. Imagine looking at a dormitory chore wheel and seeing it's your turn to carry in the charcoal this week. Bleh! The dormitory is on an island, so when you go out to get the charcoal you have to take a row (りょう) boat. You row and row and row until you reach the shed with all the charcoal. Then you row and row and row it back to the dormitory. The dormitory row boat leaks a little too, so by the time you get back you really need to light the charcoal and heat up!
# | 鳩 | Dove, Pigeon | はと ; く | Nine + Bird | There are nine birds and one of them is a dove and another is a pigeon. These nine birds are a flock of all kinds, but the dove and the pigeon are the leaders. Look at these nine birds strutting down the street like they own the place. The dove and pigeon are out in front because they are the most important. Hear them chirping and fluttering their feathers about. Take a look at the pigeon in front of you. Now, grab it, tear it in half, and grab the heart (はと) from its little body. Devour it. You love pigeon hearts. Discard the rest, keep the heart.
# | 鈍 | Dull | どん ; にぶ, のろ | Gold + Barracks | Make barracks out of gold and they will get dull quickly. Gold is soft, it's okay for jewelry and delicate things that aren't used much, but barracks for soldiers? Those are used constantly, and they get worn out easily. What was once shiny gold will go dull in days. Picture a huge barracks made of dull, almost brown, gold. Maybe you should have picked a better material. As you stare sadly at the dull barracks, the don (どん) shows up out of nowhere, and he's pissed. He turns his angry gaze toward you and says, "How did my barracks get so dull? Are you at fault? This is bad, this is very bad. Someone will pay for this." You stand cowering in front of the don as he inspects how dull the gold barracks are. You don't wanna be off'd for this just because the don was dull enough to make you use gold!
# | 鍛 | Forge | たん ; きた | Gold + Comb + Weapon | You want to turn your gold comb into a weapon, so you throw it into the forge. Once the gold comb has melted down in the forge, you can forge it into whatever weapon you want. You're trying to work the forge, but it's harder than you thought. You end up forging outside all day and get a wicked tan (たん). Most people who do forge work have tans. And now you know why.
# | 碁 | Go | ご | Crab + Stone | A crab moves a stone because he is playing the game Go. You know this game, right? You put black or white stones on a board until you win the game. This is the Japanese game known as Go. This crab is pretty good. Look at this crab placing stones on the Go board. Hear them click and clack as the crab places them with expert precision. Go is pronounced Go (ご) in Japanese, too. How convenient is that? Like, super convenient. So easy even a crab could remember! Go is Go. Easy!
# | 癖 | Habit | くせ ; へき | Sick + Hot Pepper | When you get sick you always eat a hot pepper. It's a habit you've picked up and you can't seem to shake it. One sniffle, one cough, and before you know it, you're eating a hot pepper or two. Imagine if you had a habit of eating hot peppers whenever you thought you might be getting sick. To be fair, it flushes out your sinuses and tastes good, so it's not the worst habit you could have. Everyone you know has a different habit when they get sick. Instead, they eat couscous (くせ). But you think couscous is gross. It's bland and does nothing for your stuffy noses and scratchy throats. I wonder how you can convince them to replace their habit with your own. Unfortunately, now you've gotten into the habit of telling everyone what to do when they get sick. "Yeah, yeah, eat a hot pepper, we know. But couscous is better," they say before you can speak. To each their own, I suppose.
# | 穂 | Head of Plant, Ear Of Plant | ほ ; すい | Grain + Favor | The part of the grain people favor the most is the head of the plant. You don't eat the stems and leaves of rice or wheat plants, right? You eat the head where the grains are. Imagine yourself walking through a field of rice plants. Now look very closely at the head of the plant in front of you. See the rice bunched up there? That's the good stuff. When you want to harvest the head of the plant you'd like to eat, you need to use a hoe (ほ). Using a hoe, you can dig up the bottom of the plant without injuring the head. Imagine working in a field of rice and using a hoe so you don't injure the head of the plant. You're sweating and it's hot, but you keep at it.
# | 吾 | I, Me | わが ; ご | Five + Mouth | I have five things in my mouth and I need them all for me. I own these five things, and I keep them in my mouth so people like you cannot take them from me. What five things would you keep in your mouth to protect them from me? Imagine these five things in your mouth and think of how important they are to you as you taste them on your tongue. Me, personally, I am quite thirsty so I ask for some “waga” (わが). I have five things in my mouth, so it is hard for me to pronounce the word “water”. So it sounds like “waga” when I ask for it. “Coulg I pweash hab sum waga?! I deed waga!!” Imagine how you would sound asking for “waga” with your mouth full of five things. You can carry out this experiment in real life if you would like, just be careful not to choke, okay?
# | 鍵 | Key | かぎ ; けん | Gold + Yoga + Brush | You take some gold and cover your yoga brush in it, turning it into a key. You shove the brush you normally use for yoga into the lock to your car and pour the gold over it. Now it's the right shape to be a key! You lost your old key, you see. But you're a go with the flow type of person, thanks to all the yoga, so you make a new one! This key has to be perfect, because if it isn't the car guillotine (かぎ) will come down and chop off your hand! Imagine carefully putting your makeshift key into your car's lock. You close your eyes and pray that the car guillotine isn't going to trigger, knowing it isn't a legit key.
# | 盆 | Lantern Festival, Tray | ぼん | Part + Plate | I found part of a plate at the lantern festival, and put it on a tray to keep it safe. There is a legendary plate broken into three parts. One part of the plate I found was at the lantern festival. The lantern festival was pretty cool, but I’m really glad I found the part of that plate I was looking for. Imagine holding a tray in your hands with this part of the plate on it, as the light from the lanterns glitters off it and dances around, illuminating the background. It’s enchanting. The plate part you found at the lantern festival (and put on the tray) is made out of bone (ぼん) china. How fancy. Is bone china made from real bones? Bones found in China? Probably not, huh. Tap this bone china plate with your knuckle. Hear the pleasant tap as you continue to view all the fancy lanterns around you at the festival.
# | 庄 | Manor | しょう | Canopy + Dirt | You're standing under a canopy when you see something strange sticking out of the dirt. You pull it, but it won't budge. You pull harder and harder until the dirt starts rumbling and a giant manor starts rising out of the ground with you on top! Picture yourself on top of this manor that rose out of the ground. The canopy is still above you and it seems to be attached to the roof. The beautiful manor begins to shake and the shougun (しょう) bursts out of the front door. "WHO HAS UNEARTHED MY SECRET MANOR?!" he screams. Imagine being chased by an angry shougun all through his giant, luxurious manor. You barely have time to admire the interior design with him gaining on you like this!
# | 猿 | Monkey | さる ; えん | Animal + Dirt + Mouth + Kick | An animal that kicks dirt into people's mouths is a monkey. Monkeys are naughty little things. You should be happy it was just dirt it kicked into your mouth, and not something worse. Imagine looking at a monkey at the zoo. Aww, it's so cute. But then it turns around and kicks some dirt right into your aww-ing mouth. Yuck! Why monkey, why?! You spit the dirt out of your mouth and look back at the monkey to see that it's saluting (さる) you. Is... is it mocking you? Picture the monkey saluting you as you spit dirt out of your mouth. Taste the bitter dirt and the bitter shame. You were played by a monkey.
# | 棟 | Pillar | とう | Tree + East | There’s a tree in the east that looks like a pillar. The tree is tall and straight and does not have any leaves or branches. The tree is basically a big wooden pillar that just happens to be alive still. Look at this big tree pillar over in the east. You always know where east is because of it. That pillar happens to be in the center of とうきょう. If you need to find east (which is where とうきょう is), you just look for the pillar. Imagine looking down on とうきょう from atop this magnificent pillar. The sun is rising behind you, slowly illuminating the city below.
# | 誇 | Pride | こ ; ほこ | Say + Big + Two + Prison | Say "two big prisons" with pride! Nobody said you can't have pride after serving time in two big prisons. So say it with your chest! Imagine really puffing out your chest and saying, "Yes, two big prisons!", with all the pride you can muster. After mustering all your pride, you feel like a new person, reborn almost. "I feel like a 子 (こ) again!", you proclaim to the world. With your regained, child-like pride, you venture out into the world after spending way too much time in those two big prisons. A new life awaits you, good luck!
# | 瞳 | Pupil | とう, どう ; ひとみ | Eye + Stand + Village | Inside your eye stands a tiny village that makes up your pupil. That's the black part of your eye! Oh, did you think your pupil was a hole? No, no, you misunderstand. That's where the village stands. It's full of little people who whisper to your brain what you should see. All of the people in your pupil eat doughnuts (どう) all day long. That's why your eye is shaped like a doughnut, with the "hole" (village) as their home. Even if you're a pupil non-believer, at least you can see how it's shaped like a doughnut hole, right?
# | 寧 | Rather | ねい ; むし | Roof + Heart + Net + Street | On the roof is your heart. OR! In a net in the street. Which would you rather? Would you rather have your heart up on the roof, close to falling but out of the way of people. Or would you rather have your heart in a net, which people can't steal from, but is in the way of cars. As you try to decide which you'd rather have, your neighbors (ねい) come out and grab the heart out of your hands. "I'd rather you didn't have that!" you shout as your neighbors run through the neighborhood to their own house. You'd rather this wasn't happening! You'd rather your neighbors let you make your own choice!!
# | 俵 | Sack | ひょう ; たわら | Leader + Life + Kick | The leader of your sad life aims a kick at the sack you are holding. This leader is in charge of making your life sad. The next step in the leader making your life suck is attempting to kick your sack out of your hands. Your sack holds all your valuables, so it's not something you want to have kicked. See this leader's kick coming at your sack. Hear the leader yelling as he aims his kick at your sack. Hiyahhh! Also keep in mind that the life radical is missing the little drop/slide thing on the side. It's missing that because your life is lousy and sad. You manage to get your sack out of the way as you shout "Heyo (ひょう)! Look, you missed! Heyo!" Unfortunately your leader's friend was standing behind you and he kicks your sack as you move it out of the way. "Heyo!" he shouts, mockingly. You thought you were all cool saying "heyo" and moving your sack away from the kick, but they had this planned all along. Heyo…
# | 幽 | Secluded | ゆう | Poop + Mountain | Poop Poop Mountain is covered in poop because it is such a secluded place. A secluded place has no toilets, so you just poop right on the mountain. The secluded Poop Poop Mountain is a favorite of youths (ゆう). They go there to get away from their phones to get in touch with nature again. Imagine hundreds of youths on this secluded mountain, all pooping on the ground while trying to get a cell phone signal.
# | 架 | Shelf | か ; か | Power + Mouth + Tree | With the power of your mouth you command a tree to become a shelf. Most of the time one would have to use their hands and tools to turn a tree into a shelf, but you are capable of turning a tree into a shelf by using the power of your mouth. Imagine using your mouth to turn a tree into a shelf. Yell at this tree and keep yelling at it until you see it become a shelf. Once you turn the tree into a shelf you put the shelf in your car (か) and sell it at a local pawn shop. You keep doing this over and over again until you are rich. You command the trees to turn into shelves and then you take the shelves in your car to sell them. Easy money. Imagine transporting the shelves in your car. Over and over. Back and forth in your car. Vroom vroom.
# | 黙 | Shut Up | もく ; だま | Village + Dog + Boil | Your village wants to take the village dog and boil it, and you can think of no other response than SHUT UP! The entire village is shouting and yelling and pointing at the poor dog. They're boiling a giant boiling pot of water, and you can't even hear yourself think anymore. Shut up, shut up, shut up! The villagers are mad that you told them to shut up, and they start to mock (もく) you. They put their hands on their hips, lean forward, cross their eyes, and yell "SHUT UP!" back. Even the dog is mocking you now. It's barks sound more like "shut up, shut up" than "bow wow, bow wow." What the heck dog, I was trying to save your life!
# | 斬 | Slice | ざん ; き | Car + Axe | You use your car and an axe to slice down a pedestrian. This innocent guy is just walking along the road when you drive up to him in your car and axe him to death with your axe. You’re all like, VROOM! AXE! Now this guy is dead because you sliced him down in cold blood. Imagine driving your car, waving your axe out the window and slicing this guy down. Hear his scream ring in your ears as you slice, slice, SLICE. You were driving around in Zanzibar (ざん) when you sliced down this man. Luckily, Zanzibar has no laws at all, so you won’t get arrested for slicing down this guy with your axe. Zanzibar is a crazy place, huh? Continue to drive around Zanzibar as you wave your axe out your car window looking for another victim to slice.
# | 帝 | Sovereign | てい ; みかど | Stand + Towel | You stand your towel up so everyone can see it. This announces that you are the sovereign ruler of this bathroom. Whenever someone walks into your bathroom, you start screaming that you are the sovereign ruler of this toilet, this sink, this toothbrush, and all that touch these tiles. As the sovereign ruler of this bathroom, you must choose a monogram to represent your rule. For this, you choose the symbol of the food that passes through you the most: The mighty tater (てい) tot! Picture your standing towel with a huge tater tot sewn into it. Everyone who sees this will know that you're the toilet tater tot sovereign.
# | 租 | Tariff | そ | Grain + Top Hat | Someone with a top hat comes and tells you that your grains are going to be taxed from now on. Top hat man says there is a tariff that's been enacted on grains. Rice? Triple the price. Wheat? Quadruple. People in top hats like to put tariffs on lots of things. Especially things you need, like grains you eat to stay alive. You have no choice but to pay. You're listening to all the things in this tariff and you finally get fed up and ask what isn't being taxed now. The top hat man looks at you and smiles, holding out his hand. In his hand is some soap (そ). Everything you get from other counties has been tariffed except for soap. You'll be hungry, but at least you'll be clean.
# | 錬 | Tempering | れん ; ね | Gold + East | The gold from the east needs tempering before it can be sold. The gold from the east is good, it just needs some tempering before it’s entirely presentable. You know, tempering like you’d do in a forge. Imagine tempering this gold from the east. You’re heat treating the gold when you’re tempering it, so feel the heat from the fire on your face and arms. The smithy where you’re doing the tempering is pretty fancy, but it’s just a rental (れん). You haven’t sold enough gold to own a smithy as nice as this one yet, so for now, you rent one. It is pretty swanky though, even for a rental. Imagine yourself in this rental smithy. It’s really nice. There’s like TVs and live music and free WiFi and everything. It’s a very nice rental in which to do tempering. Also keep in mind that this kanji shares its reading with 練, which has the same right side.
# | 阻 | Thwart | そ ; はば | Building + Top Hat | If you see a building wearing a giant top hat, beware! This building is a fake and it's trying to thwart all of the plans the people in other buildings have. Picture the building, with it's tall top hat, inching closer to other buildings when no one is looking. It's planning to thwart everything! The building next door is being painted, and the top hat building is jealous. It thwarts the painting plans by dumping soap (そ) out of its windows and onto the painters and the building! Watch as the soap cleans all of the paint away, thwarting the entire paint project. The painters are on the ground, crying and squeaky clean.
# | 歳 | Years Old | さい, せい | Stop + Slide + Drunkard + Jackhammer | You need to stop a drunkard from going down a slide with a jackhammer to ask him how many years old he is. He's doing a lot of dangerous things right now, and they all have age limits. Depending how many years old he is, this guy could be violating like three different laws right now. When you ask him how many years old he is, he turns to you and screams, "I'M A MILLION YEARS OLD AND YOU'LL NEVER STOP ME!" That's obviously not how old this kid is, so you take out your holy blue saber (せい) and slice the slide in half. Then the jackhammer. Then the kid's metal arm—wait! This kid is a cyborg (さい)! Your saber cuts through the cyborgs robo-body and it screams, "OKAY OKAY I'M NOT A MILLION I'M ONLY FIVE YEARS OLD AND A CYBORG PLEASE DON'T REPROGRAM ME!"
# | 零 | Zero, Spill | れい ; こぼ | Rain + Orders | You get rain orders. Your orders are to make sure there is zero spill. Despite it raining, your orders are to make sure none (zero!) of the rain spills anywhere. Figure out what you need to do to make sure you follow these rain orders successfully. Zero spill, alright? The best way to make sure there is zero spill when it rains is to get rid of the rain. You use a special ray (れい) gun and zap the rain right out of the sky. There will be zero spills because there will be zero rain. You just take your ray gun and "zap!" the clouds are gone. There will be zero spills today. Hint: when you see the radical orders it's fairly likely the reading will be れい.
# | 幣 | Cash | へい | Penguin + Towel | That penguin over there seems to have a towel stuffed with cash. The towel the cash is in even has a big $ on it like the ones they have at the bank. You follow the penguin into a back alley. Your eyes follow the cash, and you watch as the penguin stuffs it, towel and all, into a hay (へい) stack. What a smart penguin, people don't look for cash in hay, they're too busy looking for needles. You wait for the penguin to leave and you run over to the hay stack and stick your hand in. But you don't feel the towel or the cash! Instead you pull out your hand and it's full of hay and needles. Ouch! No fair, gimme that cash!!
# | 箸 | Chopsticks | はし | Bamboo + Someone | You give bamboo to someone and they make them into chopsticks. They are very talented at turning bamboo into bamboo chopsticks. This someone is an expert at their profession. Watch this person take ordinary bamboo and transform it into chopsticks right before your eyes. Hear the whooshing and whittling sounds as they form the bamboo into chopsticks with expert speed and precision. Now use those chopsticks to eat some delicious hash (はし) browns! That's what chopsticks were made for. That's what they're always made for. Imagine trying to pick up hash browns with your chopsticks. They would be really hard to eat if you didn't have these handy eating tools!
# | 瞭 | Clear | りょう | Eye + Charcoal | Rub charcoal under your eyes if you want to see clearly. Sports players also rub charcoal under their eyes to see nice and clear in the bright sun. You can even rub charcoal in your eyes if you really want to clear them up, but you should probably only do this under the supervision of your eye doctor. You have to have clear vision because you're about to go out in your row (りょう) boat. The light off the water shines right into your eyes and you need the charcoal to clear that up for you. Otherwise you'll end up crashing into the shore or going over a waterfall to your death. Imagine how dangerous it would be not to have clear vision while you row around in a row boat. You might even smack yourself in the face with your own oars.
# | 崖 | Cliff | がけ ; がい | Mountain + Cliff + Dirt | There is a mountain on top of a bunch of dirt with a steep cliff. This is a bit redundant, but the mountain and the dirt just make the cliff even bigger and steeper and scarier. Imagine a cliff. Now add two big helpings of dirt and a mountain to the top. It's still a cliff, it's just more cliff than before. You can't believe how big the cliff is now with the mountain and the dirt. You look at it for so long, you just become another gawker (がけ) who can't stop staring at the huge cliff. It really is huge. Imagine a giant cliff that turns every passerby into a gawker, just like you.
# | 炊 | Cook | すい ; た | Fire + Lack | Without a fire, you will lack the ability to cook anything. You really need a fire to cook properly. Having a fire will make sure any cooking endeavors you attempt will not fail. Imagine yourself as you cook with a fire very confidently. Knowing you cannot fail, feel the heat and hear the crackling embers of the fire. Smell the delicious smell of whatever you are cooking as well. You cook your meal evenly by swinging (すい) it back and forth over the fire. You swing it left, you swing it right. You swing it to, you swing it fro. All this swinging ensures a properly cooked meal. Imagine swinging this meal over the fire. Feel the flames licking at your fingertips as you cook this meal by swinging it back and forth over the fire.
# | 粧 | Cosmetics | しょう | Rice + Canopy + Dirt | Sitting safely under your canopy you take rice and dirt, mix it up, and create unique cosmetics for your face. Imagine mixing dirt and rice together to make some cosmetics that best fit your skin tone and type. No one will see you doing it under this canopy too, so the secret formula you come up with will be safe. You need these cosmetics because you have a meeting with the Shougun (しょう) coming up. You want to impress him, and you don't want anyone to copy your look. Imagine meeting the Shougun with your new cosmetics all over your face. You look amazing! Stunning! The shougun wants to know where you got that foundation, you're glowing!
# | 墜 | Crash | つい | Building + Horns + Pig + Dirt | A building falls into the dirt when a pig with horns crashes into it. The building literally crashes to the ground when the horned pig attacks it. Picture a pig with horns crashing into a building and both of them crashing into the dirt. Uh oh, is the pig dead? You pull the poor pig out of the rubble of the crash. It's not dead, but it had a nasty bump to the head and now thinks it's a bird. "TWEET (つい)!" says the pig. "Tweet, tweet, tweet!" Poor confused pig. Imagine trying to explain to the pig that it's a pig, and not a bird. "Tweet, tweet, tweet!" says the pig again. Oh dear.
# | 欺 | Deceit | ぎ ; あざむ | Crab + Lack | A crab will try to hide what it lacks with deceit. Lying, stealing, faking things—no type of deceit is too much for a crab. Covering things up with deceit is pretty much the worst thing you can do, so don't be like this crab. Deceit can only take you so far, and soon the crab is caught, tried for its crimes and coverups, and sentenced to death via guillotine (ぎ). Picture the crab with its head, er, front half? Whatever, it's in the guillotine and it's screaming, "You've been deceived! I never deceived anyone, you're all sheep!"
# | 滴 | Drip | てき ; したた, しずく | Tsunami + Mohawk | A tsunami hits your mohawk and it begins to drip. The water from the tsunami continues to drip from your mohawk long after the tsunami has passed. There’s a lot of water in your hair now, so it’s probably going to drip for a while. Imagine having all this tsunami water in your hair. Hear it drip from your mohawk. Drip… drip… drip… Luckily, you’re a self-proclaimed techie (てき), so you develop a device to stop the drip drip dripping. This techie device of yours is like a hair dryer helmet. You put it over your mohawk, it does its thing, and your hair is dry! Being a techie sure does have its benefits. Feel the weight of this dryer helmet on your head as you listen to it whirr away. The dripping has finally stopped! Success!
# | 塀 | Fence | へい | Dirt + Flag + Horns + Lantern | In the dirt there are flags and horns lined up with a lantern attached to them, making a fence. It's a little weird looking, but these things are definitely supposed to fence something in. Can you see the fence made of horns and flags through the light of the lantern? You want to know what this fence is fencing in, so you take a step closer. As the light from the lantern gets brighter you see that the fence is around a ton of hay (へい). Picture yourself climbing over this fence (that you're definitely not supposed to climb based on all these flags and horns) and falling into the piles of hay. It's a little scratchy, but otherwise pretty comfy!
# | 霧 | Fog | きり ; む | Rain + Spear + Winter + Power | It's raining on your spear that has winter power. When the warm rain hits your cold, winter spear, it creates fog. When warm water touches a cold spear, fog billows out and covers everything. Through the fog you see the shape of a mythical kirin (きり). You can only see the outline through the fog, but you know it's there. You walk toward the kirin through the fog. When you get close, the image before you becomes clear: it's two cans of Kirin beer on a slide. Next time you see fog, keep your eyes peeled for the real kirin in the kiri.
